date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,quarter,is_weekend,cpu_usage_lag1,cpu_usage_lag3,cpu_usage_lag7,rolling_mean_7,rolling_max_7,rolling_min_7,rolling_mean_30,rolling_max_30,rolling_min_30,cpu_utilization
2023-01-01,East US,VM,88,1959,470,104.97,0.99,1,6,1,1,1,,,,,,,,,,0.8888888888888888
2023-01-01,Southeast Asia,Container,77,1199,470,104.97,0.99,1,6,1,1,1,88.0,,,,,,,,,0.7777777777777778
2023-01-01,Southeast Asia,Storage,76,1582,369,104.97,0.99,1,6,1,1,1,77.0,,,,,,,,,0.7676767676767676
2023-01-01,Southeast Asia,VM,93,1356,248,104.97,0.99,1,6,1,1,1,76.0,88.0,,,,,,,,0.9393939393939394
2023-01-01,North Europe,Storage,51,1715,476,104.97,0.99,1,6,1,1,1,93.0,77.0,,,,,,,,0.5151515151515151
2023-01-01,North Europe,VM,73,1937,493,104.97,0.99,1,6,1,1,1,51.0,76.0,,,,,,,,0.7373737373737373
2023-01-01,North Europe,Container,82,959,221,104.97,0.99,1,6,1,1,1,73.0,93.0,,77.14285714285714,93.0,51.0,,,,0.8282828282828283
2023-01-01,West US,Storage,85,1371,351,104.97,0.99,1,6,1,1,1,82.0,51.0,88.0,76.71428571428571,93.0,51.0,,,,0.8585858585858586
2023-01-01,West US,VM,60,1982,287,104.97,0.99,1,6,1,1,1,85.0,73.0,77.0,74.28571428571429,93.0,51.0,,,,0.6060606060606061
2023-01-01,East US,Container,70,621,414,104.97,0.99,1,6,1,1,1,60.0,82.0,76.0,73.42857142857143,93.0,51.0,,,,0.7070707070707071
2023-01-01,East US,Storage,92,1595,388,104.97,0.99,1,6,1,1,1,70.0,85.0,93.0,73.28571428571429,92.0,51.0,,,,0.9292929292929293
2023-01-01,West US,Container,52,1832,457,104.97,0.99,1,6,1,1,1,92.0,60.0,51.0,73.42857142857143,92.0,52.0,,,,0.5252525252525253
2023-01-02,North Europe,Storage,96,1455,463,106.48,1.15,0,0,1,1,0,52.0,70.0,73.0,76.71428571428571,96.0,52.0,,,,0.9696969696969697
